Age;Gender;Marital Status;Occupation;Educational Qualifications;Income Category;Monthly Income;Family size;latitude;longitude;Pin code;Output;Feedback
20;Female;Single;Student;Post Graduate;Unknown;No Income;4;129.766;775.993;560001;Yes;Positive
24;Female;Single;Student;Graduate;Low;Below Rs.10000;3;12.977;775.773;560009;Yes;Positive
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;3;129.551;776.593;560017;Yes;Negative 
22;Female;Single;Student;Graduate;Unknown;No Income;6;129.473;775.616;560019;Yes;Positive
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;4;12.985;775.533;560010;Yes;Positive
27;Female;Married;Employee;Post Graduate;Wealthy;More than 50000;2;129.299;776.848;560103;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.828;776.131;560042;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;129.766;775.993;560001;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;129.854;777.081;560048;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;5;12.985;775.533;560010;Yes;Positive
23;Male;Single;Student;Post Graduate;Low;Below Rs.10000;2;12.977;775.773;560009;Yes;Negative 
23;Male;Single;Student;Post Graduate;Unknown;No Income;5;128.988;775.764;560078;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;4;12.977;775.773;560009;Yes;Positive
23;Female;Single;Self Employeed;Post Graduate;Medium;10001 to 25000;5;129.438;775.738;560004;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;6;128.893;776.399;560068;Yes;Positive
28;Female;Single;Employee;Post Graduate;High;25001 to 50000;2;129.783;776.408;560038;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;3;12.982;776.256;560008;Yes;Negative 
25;Male;Single;Student;Graduate;Unknown;No Income;4;128.988;775.764;560078;Yes;Negative 
21;Female;Single;Student;Post Graduate;Low;Below Rs.10000;1;129.783;776.408;560038;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;4;130.298;776.047;560032;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;4;129.983;776.409;560033;Yes;Positive
23;Male;Single;Student;Graduate;Unknown;No Income;4;129.925;775.633;560021;Yes;Positive
21;Male;Single;Student;Post Graduate;Low;Below Rs.10000;3;129.306;775.434;560085;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.982;776.256;560008;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;5;129.353;775.585;560050;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;3;129.155;775.135;560098;Yes;Positive
23;Female;Single;Employee;Graduate;Medium;10001 to 25000;3;129.854;777.081;560048;Yes;Positive
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;4;130.019;775.713;560003;Yes;Positive
22;Female;Single;Employee;Graduate;Medium;10001 to 25000;5;129.698;77.75;560066;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;4;129.783;776.408;560038;Yes;Positive
25;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;4;129.261;776.221;560034;Yes;Positive
22;Female;Single;Student;Post Graduate;Medium;10001 to 25000;5;12.985;775.533;560010;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;2;129.119;776.446;560102;Yes;Positive
25;Male;Single;Student;Post Graduate;Medium;10001 to 25000;3;129.306;775.434;560085;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;5;12.977;775.773;560009;No;Positive
32;Female;Prefer not to say;House wife;Graduate;Unknown;No Income;5;12.982;776.256;560008;Yes;Negative 
23;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.438;775.738;560004;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;128.988;775.764;560078;Yes;Positive
